name,description,file_type,size,tags,created_at,course,lecturer,semester,content_type,week
Database_Systems_Week9_slides.pptx,Slides for Database Systems (Fall 2023) - Week 9 by Dr. Amoako,pptx,13415424,"['database systems', 'fall-2023', 'slides', 'week-9', 'amoako']",2024-10-23T00:27:44,Database Systems,Dr. Amoako,Fall 2023,slides,Week 9
Programming_Basics_readings.pdf,Readings for Programming Basics (Spring 2024) by Dr. Amoako,pdf,18747392,"['programming basics', 'readings', 'spring-2024', 'amoako']",2025-04-25T18:29:38,Programming Basics,Dr. Amoako,Spring 2024,readings,
IT_Fundamentals_solution.pdf,Solution for IT Fundamentals (Fall 2023) by Prof. Mensah,pdf,31163392,"['solution', 'it fundamentals', 'fall-2023', 'mensah']",2024-05-23T19:58:17,IT Fundamentals,Prof. Mensah,Fall 2023,solution,
Calculus_I_assignments.docx,Assignments for Calculus I (Fall 2023) by Dr. Amoako,docx,24967168,"['calculus i', 'fall-2023', 'amoako', 'assignments']",2023-11-16T19:57:15,Calculus I,Dr. Amoako,Fall 2023,assignments,
Calculus_I_Week5_lecture_notes.pdf,Lecture notes for Calculus I (Summer 2024) - Week 5 by Mrs. Nyarko,pdf,20007936,"['calculus i', 'week-5', 'summer-2024', 'nyarko', 'lecture-notes']",2024-12-28T03:40:14,Calculus I,Mrs. Nyarko,Summer 2024,lecture notes,Week 5
Data_Structures_readings.pdf,Readings for Data Structures (Summer 2024) by Dr. Amoako,pdf,39966720,"['amoako', 'readings', 'summer-2024', 'data structures']",2024-04-09T02:18:14,Data Structures,Dr. Amoako,Summer 2024,readings,
Calculus_I_Week2_slides.pptx,Slides for Calculus I (Spring 2024) - Week 2 by Mrs. Nyarko,pptx,6321152,"['calculus i', 'spring-2024', 'week-2', 'slides', 'nyarko']",2025-03-22T20:03:47,Calculus I,Mrs. Nyarko,Spring 2024,slides,Week 2
Operating_Systems_Week2_slides.pptx,Slides for Operating Systems (Summer 2024) - Week 2 by Dr. Amoako,pptx,43042816,"['summer-2024', 'week-2', 'slides', 'operating systems', 'amoako']",2023-08-16T11:09:12,Operating Systems,Dr. Amoako,Summer 2024,slides,Week 2
Database_Systems_Week3_tutorial.pdf,Tutorial for Database Systems (Summer 2024) - Week 3 by Prof. Mensah,pdf,40883200,"['summer-2024', 'database systems', 'mensah', 'tutorial', 'week-3']",2023-09-23T22:07:12,Database Systems,Prof. Mensah,Summer 2024,tutorial,Week 3
Data_Structures_solution.pdf,Solution for Data Structures (Spring 2024) by Mrs. Nyarko,pdf,18701312,"['solution', 'spring-2024', 'data structures', 'nyarko']",2025-04-09T00:13:42,Data Structures,Mrs. Nyarko,Spring 2024,solution,
IT_Fundamentals_readings.pdf,Readings for IT Fundamentals (Summer 2024) by Mrs. Nyarko,pdf,43431936,"['readings', 'it fundamentals', 'summer-2024', 'nyarko']",2024-01-07T06:33:54,IT Fundamentals,Mrs. Nyarko,Summer 2024,readings,
African_History_exam.pdf,Exam for African History (Spring 2024) by Dr. Gadaafi,pdf,49552384,"['exam', 'gadaafi', 'african history', 'spring-2024']",2023-10-10T13:39:33,African History,Dr. Gadaafi,Spring 2024,exam,
IT_Fundamentals_solution.pdf,Solution for IT Fundamentals (Fall 2023) by Dr. Gadaafi,pdf,39925760,"['it fundamentals', 'gadaafi', 'solution', 'fall-2023']",2023-11-25T06:30:10,IT Fundamentals,Dr. Gadaafi,Fall 2023,solution,
Computer_Networks_solution.pdf,Solution for Computer Networks (Summer 2024) by Dr. Amoako,pdf,37467136,"['computer networks', 'solution', 'summer-2024', 'amoako']",2024-02-20T00:44:27,Computer Networks,Dr. Amoako,Summer 2024,solution,
Operating_Systems_Week6_lecture_notes.pdf,Lecture notes for Operating Systems (Fall 2023) - Week 6 by Prof. Mensah,pdf,22335488,"['mensah', 'fall-2023', 'week-6', 'operating systems', 'lecture-notes']",2024-09-22T10:12:00,Operating Systems,Prof. Mensah,Fall 2023,lecture notes,Week 6
Data_Structures_Week6_slides.pptx,Slides for Data Structures (Summer 2024) - Week 6 by Prof. Mensah,pptx,41901056,"['summer-2024', 'mensah', 'data structures', 'slides', 'week-6']",2025-02-10T07:14:09,Data Structures,Prof. Mensah,Summer 2024,slides,Week 6
IT_Fundamentals_Week4_tutorial.pdf,Tutorial for IT Fundamentals (Spring 2024) - Week 4 by Prof. Mensah,pdf,5746688,"['spring-2024', 'mensah', 'week-4', 'it fundamentals', 'tutorial']",2024-07-21T02:25:06,IT Fundamentals,Prof. Mensah,Spring 2024,tutorial,Week 4
Database_Systems_Week10_slides.pptx,Slides for Database Systems (Fall 2023) - Week 10 by Prof. Mensah,pptx,8945664,"['database systems', 'fall-2023', 'mensah', 'slides', 'week-10']",2023-09-28T12:59:06,Database Systems,Prof. Mensah,Fall 2023,slides,Week 10
Computer_Networks_Week6_lecture_notes.pdf,Lecture notes for Computer Networks (Summer 2024) - Week 6 by Dr. Gadaafi,pdf,46125056,"['summer-2024', 'computer networks', 'week-6', 'gadaafi', 'lecture-notes']",2023-12-15T11:52:57,Computer Networks,Dr. Gadaafi,Summer 2024,lecture notes,Week 6
IT_Fundamentals_exam.pdf,Exam for IT Fundamentals (Spring 2024) by Dr. Gadaafi,pdf,47169536,"['exam', 'it fundamentals', 'gadaafi', 'spring-2024']",2025-03-03T05:41:27,IT Fundamentals,Dr. Gadaafi,Spring 2024,exam,
Data_Structures_assignments.docx,Assignments for Data Structures (Summer 2024) by Dr. Gadaafi,docx,30886912,"['summer-2024', 'gadaafi', 'data structures', 'assignments']",2025-01-05T07:20:21,Data Structures,Dr. Gadaafi,Summer 2024,assignments,
Calculus_I_exam.pdf,Exam for Calculus I (Summer 2024) by Dr. Gadaafi,pdf,39076864,"['exam', 'calculus i', 'gadaafi', 'summer-2024']",2023-10-04T14:12:42,Calculus I,Dr. Gadaafi,Summer 2024,exam,
African_History_Week2_slides.pptx,Slides for African History (Spring 2024) - Week 2 by Dr. Gadaafi,pptx,50718720,"['spring-2024', 'week-2', 'slides', 'gadaafi', 'african history']",2024-03-20T21:34:25,African History,Dr. Gadaafi,Spring 2024,slides,Week 2
Operating_Systems_assignments.docx,Assignments for Operating Systems (Fall 2023) by Prof. Mensah,docx,18703360,"['fall-2023', 'mensah', 'operating systems', 'assignments']",2024-06-18T20:28:24,Operating Systems,Prof. Mensah,Fall 2023,assignments,
Database_Systems_solution.pdf,Solution for Database Systems (Fall 2023) by Dr. Amoako,pdf,1566720,"['solution', 'database systems', 'fall-2023', 'amoako']",2024-10-15T12:06:34,Database Systems,Dr. Amoako,Fall 2023,solution,
